,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2011-12-31,,,,,,,,9.55,0.0,,,5.9,1.05,811.26,1.42,,,0.19,12,2011,,,,,,,,,,,,
2012-12-31,10.729999999999997,,,,,,,9.5,0.0,1.4100000000000001,-0.75,1.45,2.23,718.1,0.69,720.98,-731.34,0.65,12,2012,,,,,,,,,,,,
2013-12-31,23.03,,,,,,,9.0,0.0,-0.8000000000000007,-0.18999999999999995,1.47,2.32,1431.99,2.11,-674.79,679.25,0.76,12,2013,,,,,,,,,,,,
2014-03-31,32.8,,,,,,,9.0,0.0,2.2,-0.19,2.91,4.56,1434.51,2.0,29.41,-27.97,0.19,3,2014,,,,,,,,,,,,
2014-06-30,33.290000000000006,,,,,,,9.1,0.0,1.4499999999999997,0.19,8.9,6.55,1438.85,2.09,33.599999999999994,-27.6,0.38,6,2014,,,,,,,,,,,,
2014-09-30,33.66,,,,,,,9.0,0.0,1.5100000000000002,-0.84,3.87,9.78,1444.62,2.17,22.42000000000001,-27.46,0.57,9,2014,,,,,,,,,,,,
2014-12-31,33.849999999999994,,,,,,,8.7,0.0,1.3899999999999997,-0.2300000000000001,1.45,13.02,1475.32,0.41,-2.4200000000000017,0.0,0.57,12,2014,,,,,,,,,,,,
2015-06-30,-74.62,,,,,,,5.1,108.26,104.92,0.1200000000000001,19.92,0.0,1372.32,0.72,-44.77,63.260000000000005,0.14,6,2015,,,,,,,,,,,,
2015-12-31,36.98,,,,,,,4.84,144.23,39.890000000000015,-1.6700000000000002,18.38,0.0,738.75,2.02,-1.5399999999999991,0.0,0.14,12,2015,,,,,,,,,,,,
2016-12-31,-95.39999999999999,,,,,,,3.26,0.0,-135.83,1.56,7.15,0.0,955.52,5.75,-47.93000000000001,19.77,0.0,12,2016,,,,,,,,,,,,
