,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-06-30,,,,,,,,,,,30.3,179.04,398.94,680.66,79.87,944.04,200.71,51.08,0.0,263.06,4.63,267.69,225.0,676.35,,,,,,0.0,0.4,0.1,,,,,,10.74,10.54,2.59,1.07,6,2014,,457.7,45.77
2014-09-30,227.89,33.949999999999996,0.07239713998996487,0.0,50.719999999999985,41.56,46.34,4.3,186.33999999999997,37.5,271.4,187.24,335.76,894.62,77.03,1145.53,147.96,44.64,0.0,200.16,4.77,204.92,300.0,940.6,83.77,-20.57,177.9,4.780000000000001,14.846235640648013,1.37,0.22,0.17,11.856096337180128,0.0,14.445358755644756,0.0,18.329252383341696,12.18,12.04,4.47,2.79,9,2014,0.0,468.9411764705882,79.72
2014-12-31,192.09000000000003,1.75,0.003436847919479563,0.0,28.05000000000001,6.859999999999999,11.72999999999999,6.55,185.22000000000003,7.040000000000006,46.19,176.07,364.4,968.32,77.22,1219.14,165.25,92.14,0.0,268.99,6.6,275.59,300.0,943.55,47.83000000000001,-286.05999999999995,13.019999999999996,4.870000000000001,476.48311428571424,2.08,0.29,0.16,0.573953602553087,0.0,0.7414999386277158,0.0,0.982079292991285,9.65,9.54,3.6,2.25,12,2014,0.0,509.1875,81.47
2015-03-31,165.72,6.79,0.01,0.0,15.94,10.0,14.72,5.7,155.72,2.9,42.26,159.98,359.91,917.84,82.77,1174.05,175.96,28.12,0.0,217.52,6.18,223.71,300.0,950.35,-33.78,17.12,12.73,4.72,142.5,1.8,0.24,0.01,2.32,0.0,2.84,0.0,4.2,4.17,4.1,4.22,2.56,3,2015,0.0,679.0,6.79
2015-06-30,146.42999999999998,-0.8200000000000003,-0.0013735343383584593,0.0,14.270000000000001,-1.7599999999999998,2.9799999999999986,4.04,148.19000000000003,1.35,32.64,135.81,334.4,866.29,99.2,1142.11,0.0,29.29,0.0,185.2,6.41,191.61,300.0,950.5,46.09,-28.96,-26.759999999999998,4.740000000000001,-735.3292682926827,1.28,0.2,0.01,-0.2856951423785596,-0.4340368509212732,-0.3461306532663318,-0.40107202680067017,-0.4724958123953101,1.95,1.91,4.68,2.87,6,2015,0.0,597.0,5.97
2015-09-30,181.40000000000003,-9.78,-0.025669291338582676,0.0,8.229999999999997,-9.08,-4.309999999999999,2.94,190.48999999999995,-7.2,15.84,165.64,304.88,703.11,104.91,985.34,7.45,30.29,0.03,38.82,6.69,45.51,300.0,939.82,-15.67,142.71,-143.85,4.77,-28.63343558282209,0.94,0.05,-0.01,-4.0044094488188975,-0.8214173228346456,-4.209763779527559,-4.209763779527559,-0.9240944881889763,-0.79,-0.77,18.11,10.26,9,2015,0.0,381.0,-3.81
2015-12-31,145.69,-14.92,-0.02389749065670048,0.0,2.8300000000000054,-15.73,-11.030000000000001,1.96,161.42000000000007,-17.23,18.89,144.19,180.43,661.62,116.27,955.02,0.0,22.23,0.03,22.66,6.91,29.57,300.0,925.46,133.04000000000002,-122.61,-7.3700000000000045,4.699999999999999,-20.50319872654155,0.64,0.03,-0.03,-6.245210891617725,-4.843224773091298,-6.43639081687133,-6.372664175120128,-5.671671115856914,-2.98,-2.93,29.2,21.24,12,2015,0.0,624.3333333333334,-18.73
2016-03-31,159.92,-5.81,-0.009999999999999998,0.0,5.64,-7.11,-3.57,1.94,167.03,-9.96,64.16,142.25,162.79,639.18,158.22,976.11,0.0,49.1,0.03,49.34,7.12,56.46,300.0,919.65,41.98,3.29,0.0,3.54,-48.5,0.63,0.06,-0.01,-2.4,-2.64,-2.52,-2.48,-3.08,-3.68,-3.63,12.95,9.66,3,2016,0.0,581.0,-5.81
2016-06-30,152.25000000000003,15.759999999999998,0.031678391959799,0.0,30.189999999999998,16.01,19.24,1.99,136.23999999999998,14.18,67.05,141.07,137.04,613.34,173.79,965.57,0.0,21.74,0.03,22.08,7.34,29.42,300.1,936.15,12.150000000000006,-9.58,0.32,3.2299999999999995,15.704711294416246,0.64,0.03,0.02,6.5257487437185935,5.32196984924623,6.715819095477387,6.652462311557789,5.95553768844221,3.23,3.19,27.78,21.57,6,2016,0.0,497.49999999999994,9.95
2016-09-30,142.62,5.73,0.010963010204081634,0.0,15.840000000000003,5.58,8.979999999999999,2.82,137.04000000000002,1.1000000000000005,22.55,145.34,253.06,560.41,229.28,968.54,0.0,18.77,0.03,20.62,7.56,28.18,300.1,940.36,-108.58000000000001,64.07000000000001,0.0,3.4000000000000004,64.30715532286213,0.9,0.03,0.03,2.368010204081633,2.1633673469387755,2.4410969387755106,2.4410969387755106,2.2364540816326532,3.51,3.45,27.18,14.91,9,2016,0.0,522.6666666666666,15.68
