,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-12-31,,,,,,,,,,,67.27,80.63,13.35,174.35,105.7,392.39,41.18,1.03,71.88,66.49,138.37,150.0,254.02,,,,,,0.0,0.54,0.14,0.0,0.0,,,,,,4.81,4.79,2.43,2.24,12,2014,,148.6428571428571,20.81
2015-03-31,68.74,5.14,0.01,0.0,26.89,6.37,9.3,,62.37,6.29,56.99,91.06,28.22,191.76,103.28,409.76,74.12,4.19,87.23,63.37,150.61,150.0,259.16,11.79,-1.89,-20.18,2.93,0.0,0.0,0.58,0.01,0.0,0.0,5.0,0.0,7.92,0.0,7.92,7.49,7.48,2.2,1.87,3,2015,0.0,514.0,5.14
2015-06-30,122.88000000000001,10.71,0.013514195583596216,0.0,35.73,12.77,15.59,2.68,110.10999999999999,12.36,360.01,135.95,53.93,567.92,186.03,799.62,117.44,0.67,136.02,12.09,148.11,200.0,651.51,-8.02,-14.96,326.46,2.82,49.577497665732956,0.82,0.23,0.02,0.0,0.0,5.351621451104101,0.0,6.5678990536277615,0.0,7.784176656151421,8.29,8.27,4.18,3.78,6,2015,0.0,792.5,15.85
2015-09-30,157.52999999999997,9.06,0.010911280610196708,0.0,28.979999999999997,9.73,12.299999999999997,2.14,147.79999999999998,8.940000000000001,52.05,161.41,77.03,359.72,201.49,863.18,155.7,0.0,189.63,12.47,202.1,200.0,661.08,7.1,-314.39,-0.6699999999999591,2.5700000000000003,49.02953366445916,0.65,0.31,0.03,0.0,0.0,4.204480128462465,0.0,5.484737053392212,0.0,6.241252509032518,7.16,7.13,1.9,1.49,9,2015,0.0,830.3333333333334,24.91
2015-12-31,179.94000000000005,25.349999999999998,0.03530640668523677,0.0,57.78999999999999,36.17,39.019999999999996,1.99,143.77000000000004,33.31,86.44,126.14,44.48,318.24,234.72,860.37,137.9,0.0,160.35,12.86,173.21,200.0,687.16,62.12,-28.180000000000007,0.0,2.8499999999999996,14.091635108481261,0.58,0.25,0.07,0.0,0.0,11.78225228810187,20.941742936729007,14.747990449661756,21.54699562276164,18.742658177477118,9.57,9.5,1.98,1.71,12,2015,0.0,717.9999999999999,50.26
2016-03-31,139.39,24.94,0.03,0.0,50.71,30.5,32.97,2.16,108.89,28.16,46.54,142.15,40.08,299.65,279.12,854.0,119.51,0.0,128.63,13.02,141.65,200.0,712.36,-39.25,-0.66,0.0,2.47,18.0,0.61,0.2,0.03,0.0,0.0,11.68,19.32,14.0,20.52,16.8,18.2,17.89,2.33,2.02,3,2016,0.0,831.3333333333334,24.94
2016-06-30,138.52000000000004,14.319999999999997,0.01823739174732552,0.1,38.82,17.86,20.939999999999998,2.02,120.66000000000001,16.05,47.68,191.54,43.94,333.41,423.58,819.01,140.77,0.0,159.48,13.41,172.88,200.0,646.13,11.149999999999999,70.00999999999999,-80.0,3.0799999999999996,27.690363128491622,0.63,0.27,0.05,0.1,2.0,6.988568517575139,8.72476821192053,8.870667345899133,8.826897605705552,10.694406520631684,14.34,14.13,2.09,1.82,6,2016,78.52,785.1999999999999,39.26
2016-09-30,164.89,14.410000000000004,0.018794484814607795,-0.0024110303707844285,40.81999999999999,16.17,20.61,1.91,148.71999999999997,14.579999999999998,81.93,196.53,48.11,360.67,431.42,823.97,136.11,0.0,146.75,14.0,160.75,200.0,659.92,-1.629999999999999,31.940000000000012,3.9200000000000017,4.44,25.41037994448299,0.58,0.24,0.07,0.1,1.43,6.9915483510340986,8.215874790385692,8.731380659586364,8.731380659586364,10.234939444754986,12.28,12.12,2.46,2.13,9,2016,-1.8485714285714323,766.7142857142857,53.67
2016-12-31,73.40000000000003,-5.300000000000004,-0.006574322927434366,0.004893824389379505,19.129999999999995,-4.969999999999999,-0.3199999999999932,1.97,78.38,-7.869999999999997,65.75,95.84,47.5,238.08,432.29,763.08,74.09,0.0,91.39,14.15,105.54,200.0,654.75,49.72,-65.88000000000001,0.0,4.65,-74.90505188679238,0.6,0.16,0.06,0.1,1.67,-2.778747157328925,-3.2170353524912163,-3.2389497622493306,-3.160057887120119,-3.887616291089521,9.53,9.37,2.61,2.09,12,2016,3.9452380952381105,806.1666666666666,48.37
2017-03-31,76.32,-2.38,0.0,,21.33,-3.07,1.46,1.78,79.39,-3.61,70.51,90.51,70.79,265.12,428.93,781.57,95.15,0.0,112.43,14.6,127.02,200.0,652.54,3.7,1.05,0.0,4.53,0.0,0.55,0.19,0.0,0.0,0.0,-1.2,-1.52,-1.44,-1.4,-1.84,-3.14,-3.12,2.36,1.73,3,2017,,-inf,-2.38
