,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2015-03-31,653.8,,,,,,,9.2,48.51,-26.28,544.66,60338.61,4732.93,-58305.34,58850.0,0.0,3,2015,,,,,,,,,,,,
2015-06-30,1218.48,,,,,,,9.8,88.11000000000001,-49.150000000000006,46.73,60886.1,4755.31,107.06999999999971,-605.0,0.11,6,2015,,,,,,,,,,,,
2015-09-30,1251.57,,,,,,,10.5,91.74000000000001,-51.099999999999994,23.68,60975.3,4784.83,1076.949999999997,-1100.0,0.31,9,2015,,,,,,,,,,,,
2015-12-31,1283.7100000000005,,,,,,,9.15,91.38,-47.349999999999994,143.98,61615.92,4747.08,1341.3300000000017,-1221.0299999999988,0.52,12,2015,,,,,,,,,,,,
2016-03-31,1316.89,,,,,,,8.25,77.18,-47.64,35.22,57318.62,880.9,5420.16,-5528.92,0.22,3,2016,,,,,,,,,,,,
2016-06-30,1348.3499999999997,,,,,,,10.5,75.57,-50.06999999999999,40.04,57385.39,885.05,1214.8199999999997,-1210.0,0.44,6,2016,,,,,,,,,,,,
2016-09-30,1381.3100000000004,,,,,,,11.7,82.43,-58.22000000000001,9.86,57482.95,893.71,1179.8100000000004,-1210.0,0.66,9,2016,,,,,,,,,,,,
2016-12-31,1421.92,,,,,,,11.7,88.59999999999997,-62.70999999999998,458.58,58101.76,1359.12,1938.6699999999992,-1489.9500000000007,0.89,12,2016,,,,,,,,,,,,
2017-03-31,1451.18,,,,,,,11.6,84.32,-60.01,14.02,59778.39,888.91,820.45,-1265.0,0.23,3,2017,,,,,,,,,,,,
2017-06-30,1450.95,,,,,,,11.2,88.58000000000001,-62.660000000000004,17.58,59282.0,898.48,1453.91,-1450.35,0.47,6,2017,,,,,,,,,,,,
2017-09-30,1450.1999999999998,,,,,,,11.5,96.45000000000002,-70.73,84.81,59697.66,965.39,1222.2199999999998,-1155.0,0.68,9,2017,,,,,,,,,,,,
