,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2014-06-30,,,,,,,,10.0,,,37.45,1782.04,33.34,,,0.0,6,2014,,,,,,,,,,,,
2014-09-30,38.040000000000006,,,,,,,9.7,11.94,-0.21999999999999997,13.82,1790.37,30.06,1.8699999999998909,-25.5,0.15,9,2014,,,,,,,,,,,,
2014-12-31,37.629999999999995,,,,,,,10.0,11.579999999999998,-0.25000000000000006,17.16,1804.34,31.45,28.840000000000146,-25.5,0.3,12,2014,,,,,,,,,,,,
2015-03-31,38.37,,,,,,,10.0,11.27,-0.06,25.93,1824.59,33.08,34.27,-25.5,0.15,3,2015,,,,,,,,,,,,
2015-06-30,43.04,,,,,,,10.6,12.21,-0.07,21.17,1910.88,32.88,20.739999999999995,-25.5,0.3,6,2015,,,,,,,,,,,,
2015-09-30,39.16,,,,,,,10.4,12.080000000000002,-0.1,16.43,1929.99,32.1,23.07,-27.810000000000002,0.46,9,2015,,,,,,,,,,,,
2015-12-31,39.68000000000001,,,,,,,10.8,12.32,-0.11999999999999997,29.22,1946.72,33.76,38.3,-25.5,0.61,12,2015,,,,,,,,,,,,
2016-03-31,39.97,,,,,,,10.4,12.57,-0.15,0.0,1971.4,35.9,1.46,-24.65,0.15,3,2016,,,,,,,,,,,,
2016-06-30,39.78,,,,,,,10.7,14.009999999999998,-0.9700000000000001,8.27,1975.7,38.58,26.89,-24.65,0.29,6,2016,,,,,,,,,,,,
2016-09-30,39.92,,,,,,,10.7,13.990000000000002,-1.04,17.43,1994.16,35.15,33.809999999999995,-24.650000000000006,0.44,9,2016,,,,,,,,,,,,
2016-12-31,39.58,,,,,,,10.6,15.240000000000002,-0.98,26.58,2018.52,36.72,33.8,-24.64999999999999,0.58,12,2016,,,,,,,,,,,,
2017-03-31,40.11,,,,,,,10.8,13.62,-0.79,24.47,2051.12,45.7,22.54,-24.65,0.15,3,2017,,,,,,,,,,,,
2017-06-30,39.91,,,,,,,10.8,13.540000000000001,-0.76,7.86,2053.22,39.78,8.04,-24.65,0.29,6,2017,,,,,,,,,,,,
2017-09-30,40.18000000000001,,,,,,,11.3,14.010000000000002,-0.8099999999999998,17.54,2058.67,40.84,33.67,-23.99000000000001,0.43,9,2017,,,,,,,,,,,,
