,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2014-12-31,,,,,,,,10.2,,,120.23,18.79,6683.82,1693.6,,,0.0,12,2014,,,,,,,,,,,,
2015-03-31,271.63,,,,,,,10.3,167.84,-38.49,68.94,2.72,6480.4,1397.1,-28.23,-23.06,0.02,3,2015,,,,,,,,,,,,
2015-06-30,276.36,,,,,,,10.4,173.78,-38.24999999999999,127.79,0.55,6596.07,1410.14,70.3,-11.440000000000001,0.02,6,2015,,,,,,,,,,,,
2015-09-30,294.1,,,,,,,10.6,178.5,-38.31,108.62,0.62,6933.14,1430.73,177.86,-197.04,0.4,9,2015,,,,,,,,,,,,
2015-12-31,290.55000000000007,,,,,,,10.6,198.30999999999995,-58.64,113.03,0.07,7045.46,1451.94,15.849999999999994,-11.439999999999998,0.4,12,2015,,,,,,,,,,,,
2016-03-31,286.96,,,,,,,13.1,176.02,-38.42,110.67,0.06,6983.61,1535.11,201.99,-204.35,0.4,3,2016,,,,,,,,,,,,
2016-06-30,291.76000000000005,,,,,,,14.0,174.92999999999998,-38.28999999999999,118.76,0.13,6950.57,1447.6,148.39,-140.29999999999998,0.66,6,2016,,,,,,,,,,,,
2016-09-30,299.7099999999999,,,,,,,14.3,182.76000000000005,-39.650000000000006,106.39,0.37,7047.38,1440.34,62.639999999999986,-75.01000000000005,0.79,9,2016,,,,,,,,,,,,
2016-12-31,293.82000000000005,,,,,,,14.0,178.42999999999995,-30.470000000000013,100.0,0.03,7034.52,1449.69,141.22000000000003,-147.61999999999995,1.07,12,2016,,,,,,,,,,,,
2017-03-31,295.83,,,,,,,14.1,178.76,-43.51,102.99,1.3,7070.4,1455.1,102.28,-99.3,0.18,3,2017,,,,,,,,,,,,
2017-06-30,311.71,,,,,,,13.6,180.38,-41.17000000000001,114.38,0.33,7035.4,1424.77,155.10999999999999,-143.7,0.45,6,2017,,,,,,,,,,,,
2017-09-30,310.22,,,,,,,14.2,181.49,-38.66,107.92,0.27,7155.43,1510.47,74.29000000000002,-80.75,0.59,9,2017,,,,,,,,,,,,
