,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2007-12-31,,,,,,,,10.0,,,0.06,732.99,0.54,,,0.0,12,2007,,,,,,,,,,,,
2008-03-31,18.01,,,,,,,10.0,4.81,-3.06,0.56,795.25,1.26,13.17,-12.67,0.18,3,2008,,,,,,,,,,,,
2008-06-30,18.539999999999996,,,,,,,9.9,4.6000000000000005,-3.06,0.44,796.49,0.97,14.270000000000001,-14.4,0.38,6,2008,,,,,,,,,,,,
2008-09-30,18.590000000000003,,,,,,,9.6,4.629999999999999,-3.0599999999999996,1.55,804.07,0.99,15.52,-14.399999999999999,0.58,9,2008,,,,,,,,,,,,
2008-12-31,20.260000000000005,,,,,,,10.1,5.210000000000001,8.379999999999999,0.74,809.78,1.05,13.589999999999996,-14.399999999999999,0.78,12,2008,,,,,,,,,,,,
2009-03-31,20.21,,,,,,,10.1,4.58,0.0,5.39,805.21,0.83,20.63,-15.98,0.22,3,2009,,,,,,,,,,,,
2009-06-30,20.189999999999998,,,,,,,6.6,4.609999999999999,0.0,5.03,801.46,0.83,15.970000000000002,-16.330000000000002,0.45,6,2009,,,,,,,,,,,,
2009-09-30,20.410000000000004,,,,,,,7.45,4.6,0.0,6.56,792.97,0.82,17.82,-16.29,0.68,9,2009,,,,,,,,,,,,
2009-12-31,22.179999999999993,,,,,,,7.55,4.870000000000001,0.0,6.62,791.11,0.93,16.340000000000003,-16.29,0.9,12,2009,,,,,,,,,,,,
2010-03-31,21.93,,,,,,,8.25,4.59,0.0,2.82,642.65,0.91,13.99,-17.78,0.25,3,2010,,,,,,,,,,,,
2010-06-30,22.17,,,,,,,8.0,4.529999999999999,0.0,2.4,640.1,0.44,18.299999999999997,-18.72,0.25,6,2010,,,,,,,,,,,,
2010-09-30,22.43,,,,,,,6.6,4.550000000000001,0.0,0.17,645.05,0.52,15.770000000000003,-18.0,0.25,9,2010,,,,,,,,,,,,
