,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2007-03-31,18.38,,,,,,,7.35,-0.11,6.01,643.24,12.2,-613.99,620.0,3,2007,,,,0.0,,,,,,,,
2007-06-30,15.210000000000004,,,,,,,6.07,-0.09000000000000001,2.76,654.22,12.95,-3.25,0.0,6,2007,,,,0.0,,,,,,,,
2007-09-30,15.099999999999994,,,,,,,5.979999999999999,-0.12,9.87,664.09,13.73,7.110000000000014,0.0,9,2007,,,,0.0,,,,,,,,
2007-12-31,15.21,,,,,,,6.18,-0.06,1.61,674.16,14.8,-8.259999999999991,0.0,12,2007,,,,0.0,,,,,,,,
2008-12-31,-0.6899999999999977,,,,,,,-0.14999999999999858,0.25,17.19,679.32,16.59,671.79,-657.82,12,2008,,,,0.0,,,,,,,,
2009-12-31,-0.36999999999999744,,,,,,,0.019999999999999574,0.13,54.23,675.36,16.95,20.839999999999996,0.6199999999999974,12,2009,,,,0.0,,,,,,,,
2010-12-31,-1.0800000000000054,,,,,,,-0.75,0.0,18.41,664.52,17.25,-67.16999999999999,0.0,12,2010,,,,0.0,,,,,,,,
2011-12-31,2.979999999999997,,,,,,,1.2300000000000004,0.0,9.67,655.33,18.08,20.03,1.3599999999999994,12,2011,,,,0.0,,,,,,,,
2012-12-31,-0.3299999999999983,,,,,,,-0.14999999999999858,0.0,8.79,665.68,37.6,9.809999999999995,-1.9599999999999937,12,2012,,,,0.0,,,,,,,,
2013-12-31,-10.699999999999996,,,,,,,-1.1900000000000013,0.0,10.96,626.38,20.69,3.770000000000003,-0.7100000000000009,12,2013,,,,0.0,,,,,,,,
2014-12-31,-3.0500000000000043,,,,,,,1.0700000000000003,0.0,13.5,607.29,17.49,-10.259999999999998,10.629999999999999,12,2014,,,,0.0,,,,,,,,
2015-12-31,6.290000000000006,,,,,,,-1.4100000000000001,0.0,15.75,592.65,18.93,-3.3800000000000026,3.099999999999998,12,2015,,,,0.0,,,,,,,,
2016-12-31,-1.0500000000000043,,,,,,,-0.8399999999999999,0.0,14.44,440.89,17.74,3.6999999999999993,-7.269999999999996,12,2016,,,,0.0,,,,,,,,
