,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2012-09-30,,,,,,,,10.5,,,1.79,0.0,3390.7,4.69,,,0.0,9,2012,,,,,,,,,,,,
2012-12-31,105.25999999999999,,,,,,,10.5,12.39,-7.69,0.63,62.33,3482.7,3.82,-1.1599999999998545,0.0,0.0,12,2012,,,,,,,,,,,,
2013-03-31,59.32,,,,,,,10.8,5.04,-0.32,0.55,0.0,3679.45,9.39,112.02,-112.1,0.33,3,2013,,,,,,,,,,,,
2013-06-30,73.39000000000001,,,,,,,10.5,4.95,-0.25999999999999995,0.03,26.33,3742.85,4.35,-0.5099999999999909,0.0,0.33,6,2013,,,,,,,,,,,,
2013-09-30,51.41999999999999,,,,,,,9.7,5.549999999999999,-0.06000000000000005,0.28,0.0,3668.85,7.78,123.55,-123.30000000000001,0.7,9,2013,,,,,,,,,,,,
2013-12-31,83.48000000000002,,,,,,,9.5,7.010000000000002,-0.37,0.12,29.45,3740.49,2.95,-0.1599999999999966,0.0,0.7,12,2013,,,,,,,,,,,,
2014-03-31,42.49,,,,,,,9.05,4.55,-0.05,0.1,0.0,3492.42,7.25,125.31,-125.33,0.37,3,2014,,,,,,,,,,,,
2014-06-30,96.25999999999999,,,,,,,9.0,5.37,-0.14,0.1,54.01,3578.2,2.14,-0.010000000000005116,0.0,0.37,6,2014,,,,,,,,,,,,
2014-09-30,50.96000000000001,,,,,,,8.95,6.209999999999999,-0.06,0.35,0.0,3504.84,7.33,123.55,-123.3,0.74,9,2014,,,,,,,,,,,,
2014-12-31,89.99999999999997,,,,,,,8.45,4.449999999999999,-0.09000000000000002,0.04,26.35,3585.16,2.1,-0.29999999999998295,0.0,0.74,12,2014,,,,,,,,,,,,
2015-03-31,67.08,,,,,,,8.3,4.45,-0.06,0.12,0.0,3534.76,7.31,125.36,-125.28,0.37,3,2015,,,,,,,,,,,,
2015-06-30,71.95,,,,,,,8.3,5.069999999999999,-0.13,0.19,20.1,3595.74,1.41,0.060000000000002274,0.0,0.37,6,2015,,,,,,,,,,,,
2015-09-30,63.120000000000005,,,,,,,8.15,5.450000000000001,-0.06,0.37,0.0,3536.5,7.81,123.49999999999999,-123.32,0.74,9,2015,,,,,,,,,,,,
2015-12-31,62.17999999999998,,,,,,,8.25,6.029999999999999,-0.09000000000000002,0.7,0.0,3586.1,1.26,0.3300000000000125,0.0,0.74,12,2015,,,,,,,,,,,,
2016-03-31,71.05,,,,,,,8.8,4.76,-0.05,0.25,0.0,4152.75,5.72,103.65,-104.11,0.31,3,2016,,,,,,,,,,,,
2016-06-30,55.32000000000001,,,,,,,9.5,11.74,-0.23000000000000004,0.88,0.0,4158.48,1.45,34.22,-33.58,0.41,6,2016,,,,,,,,,,,,
2016-09-30,74.35999999999999,,,,,,,9.95,8.96,-0.12,0.08,0.0,4158.44,1.53,64.72,-65.52000000000001,0.61,9,2016,,,,,,,,,,,,
2016-12-31,63.04999999999998,,,,,,,11.2,28.15,-0.04999999999999999,0.37,0.0,4134.48,1.47,59.09,-58.79999999999998,0.78,12,2016,,,,,,,,,,,,
2017-03-31,76.42,,,,,,,9.95,5.16,-0.18,0.35,0.0,4229.32,3.08,44.0,-44.02,0.13,3,2017,,,,,,,,,,,,
2017-06-30,62.540000000000006,,,,,,,9.65,11.82,-0.16000000000000003,0.36,0.0,4215.55,2.42,63.84,-63.839999999999996,0.32,6,2017,,,,,,,,,,,,
2017-09-30,74.73999999999998,,,,,,,9.6,21.360000000000003,-0.12,0.16,0.0,4228.87,2.68,40.120000000000005,-40.32000000000001,0.44,9,2017,,,,,,,,,,,,
