,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2014-09-30,,,,,,,,10.3,,,26.6,2357.0,60.12,,,0.0,9,2014,,,,,,,,,,,,
2014-12-31,60.879999999999995,,,,,,,10.2,10.7,-0.3899999999999999,19.92,2452.7,55.74,38.15000000000009,-44.82999999999993,0.2,12,2014,,,,,,,,,,,,
2015-03-31,59.8,,,,,,,10.7,10.4,-0.19,31.82,2451.29,56.9,63.93,-52.02,0.23,3,2015,,,,,,,,,,,,
2015-06-30,59.13000000000001,,,,,,,11.2,10.63,-0.16999999999999998,22.08,2458.3,60.12,35.089999999999996,-44.82999999999999,0.43,6,2015,,,,,,,,,,,,
2015-09-30,57.120000000000005,,,,,,,10.9,10.64,-0.13,16.28,2463.13,63.25,39.10000000000001,-44.91,0.63,9,2015,,,,,,,,,,,,
2015-12-31,56.25,,,,,,,11.4,12.309999999999995,-0.16000000000000003,30.79,2443.87,54.99,61.66,-47.140000000000015,0.84,12,2015,,,,,,,,,,,,
2016-03-31,56.28,,,,,,,12.0,10.44,-0.14,25.62,2442.73,57.28,44.22,-49.39,0.22,3,2016,,,,,,,,,,,,
2016-06-30,56.0,,,,,,,12.5,10.74,-0.36,19.39,2445.81,59.89,38.67,-44.900000000000006,0.42,6,2016,,,,,,,,,,,,
2016-09-30,55.53999999999999,,,,,,,12.5,10.29,-0.10999999999999999,29.12,2448.73,62.38,54.64,-44.90999999999998,0.62,9,2016,,,,,,,,,,,,
2016-12-31,55.47,,,,,,,11.5,10.79,-0.22999999999999998,48.9,2450.98,56.8,64.66999999999999,-44.900000000000006,0.82,12,2016,,,,,,,,,,,,
2017-03-31,55.62,,,,,,,11.8,10.74,-0.46,28.51,2455.93,60.39,23.28,-43.67,0.19,3,2017,,,,,,,,,,,,
2017-06-30,55.75000000000001,,,,,,,11.6,10.78,-0.21000000000000002,37.89,2462.97,65.91,53.05,-43.66,0.39,6,2017,,,,,,,,,,,,
2017-09-30,51.93000000000001,,,,,,,11.7,10.309999999999999,-0.44000000000000006,30.79,2462.21,67.06,36.56,-43.67,0.58,9,2017,,,,,,,,,,,,
