,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,operating_profit,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2014-12-31,,,,,,,,10.0,,70.02,4613.3,1498.7,,,0.0,12,2014,,,,,,,,,,,,,
2015-03-31,80.71,,,,,,,10.1,28.32,125.88,4664.78,1497.78,69.53,-13.66,0.0,3,2015,,,,,,,,,,,,,
2015-06-30,82.84000000000002,,,,,,,10.4,28.71,75.74,4556.92,1499.1,28.039999999999992,-78.19,0.21,6,2015,,,,,,,,,,,,,
2015-09-30,83.25999999999999,,,,,,,10.3,28.36,19.1,4555.67,1500.7,14.16000000000001,-70.80000000000001,0.21,9,2015,,,,,,,,,,,,,
2015-12-31,85.66000000000003,,,,,,,9.95,30.450000000000003,260.43,9595.35,3052.96,-4376.98,4618.32,0.28,12,2015,,,,,,,,,,,,,
2016-03-31,169.02,,,,,,,9.95,55.23,184.26,9430.68,2911.71,-9.56,-66.62,0.06,3,2016,,,,,,,,,,,,,
2016-06-30,171.91,,,,,,,9.9,56.13,135.4,9426.83,2917.72,101.36,-150.21,0.09,6,2016,,,,,,,,,,,,,
2016-09-30,171.69,,,,,,,10.1,54.80999999999999,153.08,9421.34,2923.84,170.77999999999997,-153.10999999999999,0.26,9,2016,,,,,,,,,,,,,
2016-12-31,197.14,,,,,,,10.0,68.4,285.66,13922.55,4381.56,-3855.84,3988.42,0.52,12,2016,,,,,,,,,,,,,
2017-03-31,246.37,,,,,,,9.75,79.02,80.79,13846.6,4272.52,-86.22,-118.64,0.07,3,2017,,,,,,,,,,,,,
2017-06-30,249.55,,,,,,,8.8,80.77,112.06,13823.07,4270.84,253.34,-222.07,0.19,6,2017,,,,,,,,,,,,,
2017-09-30,246.69,,,,,,,9.35,81.24000000000001,140.06,13821.42,4291.35,249.64,-221.64000000000004,0.37,9,2017,,,,,,,,,,,,,
