,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,operating_profit,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2011-06-30,,,,,,,,9.95,0.0,,0.05,683.74,0.91,,,0.0,6,2011,,,,,,,,,,,,,
2011-09-30,13.589999999999998,,,,,,,9.7,0.0,1.2399999999999998,0.14,696.4,1.22,0.09000000000003183,0.0,0.0,9,2011,,,,,,,,,,,,,
2011-12-31,13.579999999999998,,,,,,,10.0,0.0,1.2800000000000002,7.1,717.25,2.47,6.960000000000036,0.0,0.0,12,2011,,,,,,,,,,,,,
2012-03-31,13.47,,,,,,,9.85,0.0,1.28,0.17,698.49,1.22,22.77,-29.69,0.44,3,2012,,,,,,,,,,,,,
2012-06-30,13.35,,,,,,,9.9,0.0,1.32,0.07,711.7,2.38,-0.09999999999999787,0.0,0.44,6,2012,,,,,,,,,,,,,
2012-09-30,13.509999999999998,,,,,,,10.0,0.0,1.2999999999999998,0.04,700.1,1.25,22.619999999999997,-22.66,0.78,9,2012,,,,,,,,,,,,,
2012-12-31,13.510000000000005,,,,,,,9.95,0.0,1.31,0.04,721.25,2.51,0.0,0.0,0.78,12,2012,,,,,,,,,,,,,
2013-03-31,13.25,,,,,,,9.85,0.0,1.29,0.48,709.04,1.24,23.35,-22.9,0.34,3,2013,,,,,,,,,,,,,
2013-06-30,13.39,,,,,,,9.75,0.0,1.3399999999999999,0.38,722.27,2.42,-0.11000000000000298,0.0,0.34,6,2013,,,,,,,,,,,,,
2013-09-30,13.549999999999997,,,,,,,9.8,0.0,1.3400000000000003,0.33,710.28,1.65,23.38,-23.43,0.69,9,2013,,,,,,,,,,,,,
2013-12-31,13.54,,,,,,,9.8,0.0,1.3699999999999997,0.26,715.7,2.9,-0.05999999999999517,0.0,0.69,12,2013,,,,,,,,,,,,,
2014-03-31,13.25,,,,,,,9.85,0.0,1.29,1.08,703.87,1.24,22.96,-22.13,0.33,3,2014,,,,,,,,,,,,,
2014-06-30,13.39,,,,,,,9.5,0.0,1.31,1.01,717.13,2.42,-0.08000000000000185,0.0,0.33,6,2014,,,,,,,,,,,,,
2014-09-30,13.549999999999997,,,,,,,9.55,0.0,1.33,0.84,704.77,1.27,23.26,-23.430000000000003,0.68,9,2014,,,,,,,,,,,,,
2014-12-31,13.54,,,,,,,9.4,0.0,1.4700000000000002,0.66,716.55,2.5,-0.17999999999999972,0.0,0.68,12,2014,,,,,,,,,,,,,
2015-03-31,13.29,,,,,,,9.6,0.0,1.27,1.09,703.49,1.24,24.26,-23.82,0.35,3,2015,,,,,,,,,,,,,
2015-06-30,13.39,,,,,,,9.4,0.0,1.29,1.01,716.77,2.42,-0.08000000000000185,0.0,0.35,6,2015,,,,,,,,,,,,,
2015-09-30,13.549999999999997,,,,,,,9.4,0.0,1.31,1.3,704.43,1.27,23.71,-23.43,0.7,9,2015,,,,,,,,,,,,,
2015-12-31,13.540000000000006,,,,,,,9.3,0.0,1.4900000000000002,1.08,716.44,2.51,-0.21000000000000085,0.0,0.7,12,2015,,,,,,,,,,,,,
2016-03-31,13.42,,,,,,,9.3,0.0,1.29,1.46,703.5,1.26,24.2,-23.82,0.35,3,2016,,,,,,,,,,,,,
2016-06-30,12.28,,,,,,,9.8,0.0,1.2999999999999998,1.37,687.3,2.45,-0.08999999999999986,0.0,0.35,6,2016,,,,,,,,,,,,,
2016-09-30,12.419999999999998,,,,,,,8.8,0.0,1.4900000000000002,9.95,684.25,1.35,22.75,-14.18,0.35,9,2016,,,,,,,,,,,,,
2016-12-31,11.050000000000004,,,,,,,8.9,0.0,1.5899999999999999,9.94,695.27,2.92,-0.00999999999999801,0.0,0.35,12,2016,,,,,,,,,,,,,
2017-03-31,11.59,,,,,,,8.15,0.0,1.44,15.79,688.99,1.33,20.7,-14.85,0.22,3,2017,,,,,,,,,,,,,
2017-06-30,11.719999999999999,,,,,,,7.75,0.0,1.44,15.45,701.99,4.06,-0.33999999999999986,0.0,0.22,6,2017,,,,,,,,,,,,,
2017-09-30,11.849999999999998,,,,,,,7.55,2.18,3.6500000000000004,17.65,666.16,2.04,20.6,-18.39,0.49,9,2017,,,,,,,,,,,,,
