,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2012-12-31,,,,,,,,10.7,,,0.66,0.0,1031.59,58.19,,,0.0,12,2012,,,,,,,,,,,,
2013-06-30,42.51,,,,,,,9.95,4.5,0.06,6.68,0.09,1030.97,38.43,997.6700000000001,-992.31,0.23,6,2013,,,,,,,,,,,,
2013-12-31,51.31,,,,,,,10.8,8.419999999999998,0.0,32.53,0.0,1802.52,59.7,-673.62,699.4599999999999,0.75,12,2013,,,,,,,,,,,,
2014-06-30,-17.53,,,,,,,10.0,-2.58,-0.41,11.26,0.0,1834.13,63.79,665.87,-719.0,0.24,6,2014,,,,,,,,,,,,
2014-12-31,82.10000000000001,,,,,,,10.0,12.53,-0.22000000000000003,5.89,0.0,1826.34,55.3,58.96000000000001,-64.33000000000001,0.62,12,2014,,,,,,,,,,,,
2015-06-30,-88.06,,,,,,,9.8,-9.36,0.29,22.99,0.0,1861.63,63.76,1.8799999999999955,41.85000000000001,0.37,6,2015,,,,,,,,,,,,
2015-12-31,75.03,,,,,,,9.25,17.39,-0.6599999999999999,7.0,0.0,1678.1,59.66,216.56,-232.54000000000002,0.84,12,2015,,,,,,,,,,,,
2016-06-30,-79.61000000000001,,,,,,,9.85,-17.98,0.38,9.5,0.0,1674.92,57.86,-237.85000000000002,239.25,0.34,6,2016,,,,,,,,,,,,
2016-12-31,70.26000000000002,,,,,,,9.4,14.84,-0.4700000000000001,3.94,0.0,1675.6,59.75,48.559999999999995,-54.13,0.65,12,2016,,,,,,,,,,,,
2017-06-30,-82.36000000000001,,,,,,,8.9,-15.43,0.7000000000000001,10.33,0.0,1682.78,63.93,-52.76,62.21,0.29,6,2017,,,,,,,,,,,,
